psa_id,section_names,problem_id,answer_text,solved_answer,CWA_frequency,sequence_id,pra_id,type,name,pr_position,answer,is_correct,incorrect_message,position
PSAHQV,"{""S2 [treatment2]""}",1064148,10,10.0,44.0,7148.0,PRA26B6,MasterySection,S2 [treatment2],52.0,10 ,False,"<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #0000ff;"">Check your sign</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; <span style=""color: #0000ff;"">&nbsp;Positive x Positive = Positive</span></span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;Negative x Negative = Positive</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;Positive x Negative = Negative</span></p>
<p><span style=""font-size: 14pt; color: #0000ff;"">&nbsp; &nbsp; &nbsp;Negative x Positive = Negative</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #00ff00;""><span style=""color: #000000;"">Step 1:</span>&nbsp;&nbsp;Correct</span></span></p>
<p><span style=""font-size: 14pt;""><span style=""color: #00ff00;"">&nbsp; &nbsp; &nbsp;c/2 + 6 = 1</span>&nbsp;</span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- 6 &nbsp; - 6</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; <span style=""color: #00ff00;"">&nbsp;<span style=""color: #000000;"">Step 2:</span> &nbsp;Correct</span></span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp; 2 * c/2&nbsp;=&nbsp;-5 * 2&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #ff0000;""><span style=""color: #000000;"">Sign:</span> &nbsp;Incorrect</span></span></p>
<p><span style=""font-size: 14pt;""><span style=""color: #ff0000;"">&nbsp; &nbsp; &nbsp;-5 * 2 IS NOT&nbsp;10&nbsp; &nbsp;</span> &nbsp;&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>",2.0
PSAHQV,"{""S2 [treatment2]""}",1064148,-4,-4.0,17.0,7148.0,PRA26B6,MasterySection,S2 [treatment2],52.0,-4,False,"<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #0000ff;"">Subtract 6 from 1 before multiplying by 2</span></span></p>
<p><span style=""font-size: 14pt;""><span style=""color: #0000ff;"">&nbsp; &nbsp; &nbsp;You need to isolate c / 2</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp;&nbsp;<span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; <strong><span style=""color: #ff0000;"">2 *</span></strong> c/2 + 6 = 1 <strong><span style=""color: #ff0000;"">*&nbsp;2</span></strong></span></p>",4.0
PSAHQV,"{""S2 [treatment2]""}",1064148,-5,-5.0,16.0,7148.0,PRA26B6,MasterySection,S2 [treatment2],52.0,-5,False,"<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;<span style=""color: #0000ff;"">Don't forget to multiply by 2</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp;&nbsp;<span style=""color: #00ff00;"">Correct</span></span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp;c/2 + 6 = 1&nbsp;</span></p>
<p><span style=""font-size: 14pt; color: #00ff00;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- 6 &nbsp; - 6</span></p>
<p><span style=""font-size: 14pt;"">&nbsp;</span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 2:&nbsp; <span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;&nbsp;<span style=""color: #ff0000;"">c<strong>/2</strong>&nbsp;=&nbsp;-5</span></span></p>",6.0
PSAHQV,"{""S2 [treatment2]""}",1064148,-14,-14.0,10.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,1,1.0,9.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,5,5.0,9.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,-2.5,-2.5,8.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,12,12.0,8.0,,,,,,,,,
PSAHQV,"{""S2 [treatment2]""}",1064148,2,2.0,8.0,7148.0,PRA26B6,MasterySection,S2 [treatment2],52.0,2,False,"<p><span style=""font-size: 14pt; color: rgb(0, 0, 255);"">&nbsp; &nbsp; &nbsp;Don't forget to subtract 6 before multiplying</span></p>
<p>&nbsp;</p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;Step 1:&nbsp; <span style=""color: #ff0000;"">Incorrect</span></span></p>
<p><span style=""font-size: 14pt;"">&nbsp; &nbsp; &nbsp;c/2 + <span style=""color: #ff0000;""><strong>6</strong></span> = 1&nbsp;</span></p>",5.0
PSAHQV,"{""S2 [treatment2]""}",1064148,2.5,2.5,8.0,,,,,,,,,
