psa_id,section_names,problem_id,is_correct,CWA_total_frequency,CWA_count
PSAGF4,"{""S2 [treatment2]""}",768433,False,77.0,3
PSAGF4,"{""S2 [treatment2]""}",768434,False,71.0,2
PSAGF4,"{""S2 [treatment2]""}",768436,False,77.0,2
PSAGF4,"{""S2 [treatment2]""}",768437,False,98.0,2
PSAGF4,"{""S2 [treatment2]""}",768438,False,66.0,2
PSAGF4,"{""S2 [treatment2]""}",768441,False,83.0,2
PSAGF4,"{""S2 [treatment2]""}",768442,-1,7.0,1
PSAGF4,"{""S2 [treatment2]""}",768442,False,76.0,3
PSAGF4,"{""S2 [treatment2]""}",768443,False,76.0,2
PSAGF4,"{""S2 [treatment2]""}",768445,False,68.0,2
PSAGF4,"{""S2 [treatment2]""}",768446,False,88.0,2
PSAGF4,"{""S2 [treatment2]""}",768449,False,68.0,3
PSAGF4,"{""S2 [treatment2]""}",768450,False,76.0,2
PSAGF4,"{""S2 [treatment2]""}",768451,-1,5.0,1
PSAGF4,"{""S2 [treatment2]""}",768451,False,77.0,2
PSAGF4,"{""S2 [treatment2]""}",768452,-1,5.0,1
PSAGF4,"{""S2 [treatment2]""}",768452,False,76.0,3
PSAGF4,"{""S2 [treatment2]""}",768453,False,67.0,1
PSAGF4,"{""S2 [treatment2]""}",768454,False,77.0,3
PSAGF4,"{""S2 [treatment2]""}",768455,False,68.0,2
PSAGF4,"{""S2 [treatment2]""}",768456,False,78.0,3
PSAGF4,"{""S2 [treatment2]""}",768457,False,63.0,2
PSAGF4,"{""S2 [treatment2]""}",768458,False,69.0,2
PSAGF4,"{""S2 [treatment2]""}",768462,False,76.0,2
PSAGF4,"{""S2 [treatment2]""}",768463,False,80.0,1
PSAGF4,"{""S2 [treatment2]""}",768465,-1,6.0,1
PSAGF4,"{""S2 [treatment2]""}",768465,False,73.0,2
PSAGF4,"{""S2 [treatment2]""}",768467,-1,6.0,1
PSAGF4,"{""S2 [treatment2]""}",768467,False,82.0,2
PSAGF4,"{""S2 [treatment2]""}",768468,-1,5.0,1
PSAGF4,"{""S2 [treatment2]""}",768468,False,79.0,3
PSAGF4,"{""S2 [treatment2]""}",768470,False,71.0,2
PSAGF4,"{""S2 [treatment2]""}",768472,-1,5.0,1
PSAGF4,"{""S2 [treatment2]""}",768472,False,76.0,2
PSAGF4,"{""S2 [treatment2]""}",768530,False,10.0,1
PSAGF4,"{""S2 [treatment2]""}",768531,False,10.0,1
PSAGF4,"{""S2 [treatment2]""}",768534,False,12.0,1
PSAGF4,"{""S2 [treatment2]""}",768539,False,12.0,1
PSAGF4,"{""S2 [treatment2]""}",768540,False,17.0,1
PSAGF4,"{""S2 [treatment2]""}",768541,False,10.0,1
PSAGF4,"{""S2 [treatment2]""}",768543,False,12.0,1
PSAGF4,"{""S2 [treatment2]""}",768544,False,14.0,1
PSAGF4,"{""S2 [treatment2]""}",768546,-1,5.0,1
PSAGF4,"{""S2 [treatment2]""}",768546,False,17.0,1
PSAGF4,"{""S2 [treatment2]""}",768548,False,17.0,1
PSAGF4,"{""S2 [treatment2]""}",768549,-1,5.0,1
PSAGF4,"{""S2 [treatment2]""}",768549,False,16.0,2
PSAGF4,"{""S2 [treatment2]""}",768550,False,6.0,1
PSAGF4,"{""S2 [treatment2]""}",768552,False,7.0,1
PSAGF4,"{""S2 [treatment2]""}",768553,False,9.0,1
PSAGF4,"{""S2 [treatment2]""}",768554,False,7.0,1
PSAGF4,"{""S2 [treatment2]""}",768556,False,10.0,1
PSAGF4,"{""S2 [treatment2]""}",768560,False,12.0,1
PSAGF4,"{""S2 [treatment2]""}",768563,-1,6.0,1
PSAGF4,"{""S2 [treatment2]""}",768563,False,16.0,1
PSAGF4,"{""S2 [treatment2]""}",768564,False,15.0,2
PSAGF4,"{""S2 [treatment2]""}",768565,False,6.0,1
PSAGF4,"{""S2 [treatment2]""}",768566,False,13.0,1
PSAGF4,"{""S2 [treatment2]""}",768568,False,12.0,1
PSAGF4,"{""S2 [treatment2]""}",768569,False,13.0,1
PSAGF4,"{""S2 [treatment2]""}",768570,-1,5.0,1
PSAGF4,"{""S2 [treatment2]""}",768570,False,10.0,1
PSAGF4,"{""S2 [treatment2]""}",768571,-1,16.0,3
PSAGF4,"{""S2 [treatment2]""}",768571,False,16.0,1
PSAGF4,"{""S2 [treatment2]""}",768573,-1,5.0,1
PSAGF4,"{""S2 [treatment2]""}",768573,False,18.0,1
PSAGF4,"{""S2 [treatment2]""}",768577,False,8.0,1
PSAHQV,"{""S2 [treatment2]""}",1064073,False,43.0,3
PSAHQV,"{""S2 [treatment2]""}",1064074,-1,5.0,1
PSAHQV,"{""S2 [treatment2]""}",1064074,False,68.0,5
PSAHQV,"{""S2 [treatment2]""}",1064075,False,34.0,4
PSAHQV,"{""S2 [treatment2]""}",1064076,-1,21.0,3
PSAHQV,"{""S2 [treatment2]""}",1064076,False,97.0,4
PSAHQV,"{""S2 [treatment2]""}",1064077,False,13.0,1
PSAHQV,"{""S2 [treatment2]""}",1064078,-1,50.0,3
PSAHQV,"{""S2 [treatment2]""}",1064078,False,54.0,4
PSAHQV,"{""S2 [treatment2]""}",1064079,-1,5.0,1
PSAHQV,"{""S2 [treatment2]""}",1064079,False,36.0,4
PSAHQV,"{""S2 [treatment2]""}",1064080,-1,35.0,1
PSAHQV,"{""S2 [treatment2]""}",1064080,False,55.0,3
PSAHQV,"{""S2 [treatment2]""}",1064081,-1,7.0,1
PSAHQV,"{""S2 [treatment2]""}",1064081,False,37.0,3
PSAHQV,"{""S2 [treatment2]""}",1064082,-1,56.0,3
PSAHQV,"{""S2 [treatment2]""}",1064082,False,34.0,3
PSAHQV,"{""S2 [treatment2]""}",1064083,False,45.0,4
PSAHQV,"{""S2 [treatment2]""}",1064084,-1,29.0,3
PSAHQV,"{""S2 [treatment2]""}",1064084,False,123.0,4
PSAHQV,"{""S2 [treatment2]""}",1064085,False,51.0,3
PSAHQV,"{""S2 [treatment2]""}",1064086,-1,21.0,3
PSAHQV,"{""S2 [treatment2]""}",1064086,False,74.0,3
PSAHQV,"{""S2 [treatment2]""}",1064087,-1,13.0,2
PSAHQV,"{""S2 [treatment2]""}",1064087,False,47.0,6
PSAHQV,"{""S2 [treatment2]""}",1064088,-1,56.0,1
PSAHQV,"{""S2 [treatment2]""}",1064088,False,241.0,6
PSAHQV,"{""S2 [treatment2]""}",1064089,-1,7.0,1
PSAHQV,"{""S2 [treatment2]""}",1064089,False,27.0,3
PSAHQV,"{""S2 [treatment2]""}",1064090,False,41.0,2
PSAHQV,"{""S2 [treatment2]""}",1064091,-1,6.0,1
PSAHQV,"{""S2 [treatment2]""}",1064091,False,46.0,4
PSAHQV,"{""S2 [treatment2]""}",1064092,-1,44.0,4
PSAHQV,"{""S2 [treatment2]""}",1064092,False,165.0,4
PSAHQV,"{""S2 [treatment2]""}",1064093,False,38.0,3
PSAHQV,"{""S2 [treatment2]""}",1064094,-1,19.0,2
PSAHQV,"{""S2 [treatment2]""}",1064094,False,220.0,7
PSAHQV,"{""S2 [treatment2]""}",1064095,False,50.0,4
PSAHQV,"{""S2 [treatment2]""}",1064096,False,51.0,6
PSAHQV,"{""S2 [treatment2]""}",1064097,False,25.0,3
PSAHQV,"{""S2 [treatment2]""}",1064098,-1,62.0,4
PSAHQV,"{""S2 [treatment2]""}",1064098,False,178.0,6
PSAHQV,"{""S2 [treatment2]""}",1064123,-1,121.0,10
PSAHQV,"{""S2 [treatment2]""}",1064123,False,102.0,5
PSAHQV,"{""S2 [treatment2]""}",1064124,-1,51.0,7
PSAHQV,"{""S2 [treatment2]""}",1064124,False,79.0,6
PSAHQV,"{""S2 [treatment2]""}",1064125,-1,32.0,5
PSAHQV,"{""S2 [treatment2]""}",1064125,False,174.0,5
PSAHQV,"{""S2 [treatment2]""}",1064126,-1,86.0,7
PSAHQV,"{""S2 [treatment2]""}",1064126,False,124.0,5
PSAHQV,"{""S2 [treatment2]""}",1064127,-1,102.0,4
PSAHQV,"{""S2 [treatment2]""}",1064127,False,83.0,5
PSAHQV,"{""S2 [treatment2]""}",1064128,-1,37.0,7
PSAHQV,"{""S2 [treatment2]""}",1064128,False,269.0,4
PSAHQV,"{""S2 [treatment2]""}",1064129,-1,100.0,6
PSAHQV,"{""S2 [treatment2]""}",1064129,False,105.0,5
PSAHQV,"{""S2 [treatment2]""}",1064130,-1,49.0,6
