experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSABTZFT,7168,2022-02-22 14:05:00.039000+00:00,,2022-03-03 23:37:14.775000+00:00,2022-03-03 23:39:24.322000+00:00,1,,,,,,Control,65.942,23.086,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,38.567,38.564,1.0,19562363
PSABTZFT,15123,2022-02-22 20:35:46.648000+00:00,,2022-02-23 17:59:49.142000+00:00,2022-02-23 18:04:24.553000+00:00,1,,,,,,Control,127.104,127.098,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,68.11,68.105,1.0,19440312
PSABTZFT,21995,2022-01-06 16:02:00+00:00,2022-01-07 06:00:00+00:00,2022-01-11 03:43:30.853000+00:00,2022-01-14 18:13:11.986000+00:00,2,,,,,,Treatment 1,311201.999,311157.349,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,128.38,128.378,1.0,18792144
PSABTZFT,33222,2022-03-02 16:53:38.369000+00:00,2022-03-04 05:00:00+00:00,2022-03-02 18:43:58.917000+00:00,,1,,,,,,Treatment 1,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,19535084
PSABTZFT,38721,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-16 14:11:45.980000+00:00,2021-12-16 14:16:31.122000+00:00,1,,,,,,Treatment 2,183.912,183.888,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.802,54.793,1.0,18638742
PSABTZFT,39383,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-14 14:38:49.924000+00:00,2021-12-14 14:43:16.064000+00:00,1,,,,,,Control,49.42,49.415,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,91.892,34.381,1.0,18603159
PSABTZFT,41699,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2021-12-14 14:36:42.315000+00:00,2021-12-14 14:38:02.440000+00:00,1,,,,,,Treatment 1,21.44,21.436,1.0,1.0,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,15.551,15.548,1.0,18603055
PSABTZFT,42115,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-15 14:39:26.740000+00:00,2021-12-20 16:11:26.767000+00:00,4,,,,,,Control,85340.052,85121.915,1.0,0.0,,,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,61.426,61.423,1.0,18623364
PSABTZFT,47014,2021-12-14 14:00:00+00:00,2021-12-18 14:00:00+00:00,2022-01-04 14:20:29.192000+00:00,,1,,,,,,Control,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,18686689
PSABTZFT,47017,2021-12-14 14:00:00+00:00,2021-12-17 15:00:00+00:00,2021-12-17 15:21:22.027000+00:00,,1,,,,,,Control,763.745,42.342,1.0,0.0,,,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,1.0,18653296
